iter	Logloss
0	0.6685637492
1	0.6450154123
2	0.6269044467
3	0.6068404808
4	0.5881272142
5	0.5737123704
6	0.5623876654
7	0.5480632509
8	0.5368149334
9	0.5265259538
10	0.5188241034
11	0.5107737972
12	0.5031923009
13	0.4964841753
14	0.4884487534
15	0.4833170885
16	0.4762492112
17	0.4698936603
18	0.465492857
19	0.4626901389
20	0.4583428506
21	0.4544196568
22	0.4511817355
23	0.4460358415
24	0.4432630792
25	0.4406049295
26	0.4380317485
27	0.4343442078
28	0.4308383996
29	0.4284745979
30	0.4259335883
31	0.4236858345
32	0.4216364137
33	0.4196729914
34	0.4168532982
35	0.4142900089
36	0.4129803117
37	0.4110025667
38	0.4093439457
39	0.4078009046
40	0.4058606356
41	0.40436905
42	0.4029719503
43	0.4021326233
44	0.4005708909
45	0.3996274359
46	0.3973086617
47	0.395752858
48	0.3947361983
49	0.3935813358
50	0.3923209411
51	0.3914543729
52	0.3903519332
53	0.3890098463
54	0.3879157692
55	0.3867467713
56	0.3854124229
57	0.3841306846
58	0.3828559049
59	0.381545334
60	0.3806166074
61	0.3796690334
62	0.3780758474
63	0.3770816234
64	0.3759620214
65	0.375363777
66	0.3745334368
67	0.3736414685
68	0.3731304395
69	0.3724231057
70	0.3716567962
71	0.371036709
72	0.3698663068
73	0.3686584597
74	0.3677426516
75	0.3672198274
76	0.3664788244
77	0.3658924064
78	0.3647882192
79	0.3638615832
80	0.3631027003
81	0.3627399842
82	0.362089161
83	0.3608993811
84	0.360307596
85	0.3596277529
86	0.3587709517
87	0.3583182743
88	0.3577095765
89	0.3568836984
90	0.3557789184
91	0.355356821
92	0.354727591
93	0.354178649
94	0.3538375262
95	0.3531144031
96	0.3527173001
97	0.3521274496
98	0.3515819089
99	0.3508317631
100	0.350316896
101	0.349471297
102	0.3485345197
103	0.3480713265
104	0.3475584565
105	0.3470672108
106	0.3464497135
107	0.3457423797
108	0.3452960991
109	0.3449530728
110	0.3445118473
111	0.3436726451
112	0.3433816984
113	0.3425800347
114	0.3421710118
115	0.3414315378
116	0.3411276414
117	0.3407750042
118	0.3405155424
119	0.3400789351
120	0.3394638717
121	0.3392353955
122	0.3386772795
123	0.3382171132
124	0.3376300086
125	0.3372233572
126	0.3366493272
127	0.3362675766
128	0.3358632343
129	0.335362409
130	0.334628739
131	0.3342995985
132	0.3339091732
133	0.3335248639
134	0.3330318084
135	0.3325656821
136	0.3319674065
137	0.3316633852
138	0.3310998086
139	0.3307533498
140	0.3303217976
141	0.3298517083
142	0.3296254476
143	0.3290909531
144	0.3284741735
145	0.3281329882
146	0.327736603
147	0.3272406455
148	0.3267977662
149	0.3264500905
150	0.3254590805
151	0.3249860268
152	0.3245662385
153	0.3242497668
154	0.3239125445
155	0.3234920697
156	0.3230499704
157	0.322486425
158	0.3221819357
159	0.3218908017
160	0.321572021
161	0.3208792907
162	0.3202397945
163	0.3198368564
164	0.3193995314
165	0.3189732214
166	0.318573903
167	0.3181985492
168	0.3178615141
169	0.317356289
170	0.316924924
171	0.31647674
172	0.3162044533
173	0.3158578697
174	0.3153240929
175	0.3149471478
176	0.3142620937
177	0.3138934176
178	0.3135167533
179	0.3130524368
180	0.3127199575
181	0.3125168502
182	0.3121195912
183	0.3117623046
184	0.3114148473
185	0.3110578728
186	0.3106495988
187	0.3103640816
188	0.3099752165
189	0.3094475557
190	0.3091251241
191	0.3087370391
192	0.308275843
193	0.307867881
194	0.3075127787
195	0.3071936859
196	0.3067523356
197	0.3063331089
198	0.3058788089
199	0.3056033082
