iter	Passed	Remaining
0	5	1054
1	10	1041
2	15	1041
3	20	1027
4	25	1011
5	31	1007
6	36	993
7	40	975
8	45	970
9	50	960
10	56	965
11	61	968
12	66	961
13	72	961
14	77	958
15	83	955
16	88	950
17	92	937
18	97	930
19	101	913
20	106	906
21	111	900
22	116	893
23	121	891
24	126	882
25	131	877
26	136	876
27	141	870
28	146	863
29	151	857
30	156	850
31	161	845
32	166	841
33	171	839
34	178	839
35	183	837
36	189	834
37	195	832
38	201	833
39	207	831
40	213	828
41	218	821
42	223	815
43	228	810
44	234	808
45	239	803
46	245	798
47	250	794
48	255	788
49	260	781
50	264	774
51	269	765
52	273	758
53	278	752
54	283	746
55	288	740
56	292	734
57	297	728
58	301	721
59	306	715
60	311	710
61	316	704
62	322	701
63	327	696
64	334	694
65	339	689
66	344	683
67	349	677
68	353	671
69	359	666
70	363	661
71	368	655
72	373	650
73	378	644
74	382	638
75	387	632
76	392	627
77	397	621
78	402	616
79	406	610
80	411	604
81	416	599
82	420	593
83	425	587
84	429	581
85	434	575
86	438	570
87	444	566
88	449	561
89	456	557
90	461	552
91	466	547
92	471	542
93	475	536
94	480	530
95	485	525
96	491	521
97	496	516
98	501	511
99	506	506
100	511	500
101	515	495
102	520	490
103	525	485
104	529	479
105	534	473
106	538	468
107	544	463
108	549	458
109	553	453
110	558	447
111	563	442
112	567	437
113	572	431
114	576	426
115	581	420
116	586	415
117	591	410
118	595	405
119	600	400
120	604	394
121	609	389
122	614	384
123	619	379
124	623	374
125	628	368
126	633	364
127	638	359
128	643	353
129	647	348
130	652	343
131	657	338
132	662	333
133	666	328
134	672	323
135	677	318
136	681	313
137	686	308
138	692	303
139	697	298
140	702	293
141	707	289
142	713	284
143	718	279
144	723	274
145	728	269
146	732	264
147	738	259
148	743	254
149	748	249
150	753	244
151	758	239
152	764	234
153	769	229
154	775	225
155	780	220
156	785	215
157	791	210
158	796	205
159	802	200
160	806	195
161	811	190
162	816	185
163	821	180
164	826	175
165	831	170
166	836	165
167	841	160
168	846	155
169	850	150
170	855	145
171	860	140
172	866	135
173	871	130
174	876	125
175	882	120
176	887	115
177	892	110
178	898	105
179	904	100
180	910	95
181	915	90
182	921	85
183	926	80
184	931	75
185	936	70
186	941	65
187	947	60
188	952	55
189	958	50
190	963	45
191	968	40
192	974	35
193	979	30
194	984	25
195	989	20
196	994	15
197	1000	10
198	1005	5
199	1011	0
